Date,France,Germany,"Korea, South",US,United Kingdom
2020-01-22,0.0,0.0,0.01950489363152545,0.0030211238398812706,0.0
2020-01-23,0.0,0.0,0.01950489363152545,0.0030211238398812706,0.0
2020-01-24,0.030640300626696794,0.0,0.0390097872630509,0.006042247679762541,0.0
2020-01-25,0.045960450940045194,0.0,0.0390097872630509,0.006042247679762541,0.0
2020-01-26,0.045960450940045194,0.0,0.05851468089457634,0.015105619199406353,0.0
2020-01-27,0.045960450940045194,0.011935461332196569,0.0780195745261018,0.015105619199406353,0.0
2020-01-28,0.06128060125339359,0.047741845328786274,0.0780195745261018,0.015105619199406353,0.0
2020-01-29,0.07660075156674198,0.047741845328786274,0.0780195745261018,0.015105619199406353,0.0
2020-01-30,0.07660075156674198,0.047741845328786274,0.0780195745261018,0.015105619199406353,0.0
2020-01-31,0.07660075156674198,0.059677306660982844,0.2145538299467799,0.021147866879168892,0.029461150692739923
2020-02-01,0.09192090188009039,0.09548369065757255,0.23405872357830537,0.024168990719050164,0.029461150692739923
2020-02-02,0.09192090188009039,0.11935461332196569,0.2925734044728817,0.024168990719050164,0.029461150692739923
2020-02-03,0.09192090188009039,0.14322553598635882,0.2925734044728817,0.033232362238693976,0.029461150692739923
2020-02-04,0.09192090188009039,0.14322553598635882,0.3120782981044072,0.033232362238693976,0.029461150692739923
2020-02-05,0.09192090188009039,0.14322553598635882,0.3705929789989835,0.033232362238693976,0.029461150692739923
2020-02-06,0.09192090188009039,0.14322553598635882,0.4486125535250853,0.033232362238693976,0.029461150692739923
2020-02-07,0.09192090188009039,0.1551609973185554,0.48762234078813615,0.033232362238693976,0.04419172603910988
2020-02-08,0.16852165344683237,0.1551609973185554,0.48762234078813615,0.033232362238693976,0.04419172603910988
2020-02-09,0.16852165344683237,0.16709645865075196,0.5461370216827126,0.042295733758337783,0.04419172603910988
2020-02-10,0.16852165344683237,0.16709645865075196,0.5851468089457634,0.042295733758337783,0.11784460277095969
2020-02-11,0.16852165344683237,0.1909673813151451,0.6046517025772888,0.04531685759821905,0.11784460277095969
2020-02-12,0.19916195407352913,0.1909673813151451,0.6826712771033907,0.04531685759821905,0.14730575346369962
2020-02-13,0.19916195407352913,0.20290284264734165,0.6826712771033907,0.04833798143810033,0.14730575346369962
2020-02-14,0.19916195407352913,0.20290284264734165,0.6826712771033907,0.04833798143810033,0.14730575346369962
2020-02-15,0.26044255532692273,0.20290284264734165,0.7216810643664415,0.04833798143810033,0.14730575346369962
2020-02-16,0.26044255532692273,0.20290284264734165,0.741185957997967,0.04833798143810033,0.25041978088828937
2020-02-17,0.26044255532692273,0.20290284264734165,0.780195745261018,0.04833798143810033,0.25041978088828937
2020-02-18,0.26044255532692273,0.3341929173015039,0.8387104261555943,0.04833798143810033,0.25041978088828937
2020-02-19,0.26044255532692273,0.3341929173015039,0.8387104261555943,0.04833798143810033,0.25041978088828937
2020-02-20,0.26044255532692273,0.3341929173015039,2.3600921294145794,0.04833798143810033,0.25041978088828937
2020-02-21,0.26044255532692273,0.358063839965897,4.33008638619865,0.06042247679762541,0.25041978088828937
2020-02-22,0.26044255532692273,0.358063839965897,8.796707027817977,0.06042247679762541,0.25041978088828937
2020-02-23,0.26044255532692273,0.358063839965897,12.21006341333493,0.06042247679762541,0.25041978088828937
2020-02-24,0.26044255532692273,0.358063839965897,16.75470362948036,0.06042247679762541,0.3093420822737692
2020-02-25,0.39832390814705826,0.3699993012980936,19.680437674209177,0.06344360063750669,0.3093420822737692
2020-02-26,0.4749246597138003,0.5012893759522559,25.258837252825455,0.06344360063750669,0.3093420822737692
2020-02-27,0.7813276659807682,0.7399986025961872,35.128313430377325,0.06646472447738795,0.3388032329665091
2020-02-28,1.0724105219343878,0.7638695252605804,46.26560769397836,0.06948584831726923,0.41245610969835894
2020-02-29,1.7464971357217172,1.133868826558674,62.27912536546075,0.09667596287620066,0.4566478357374688
2020-03-01,2.2061016451221693,1.742577354500699,73.78701260806078,0.11480270591548827,0.6481453152402783
2020-03-02,3.1559509645497696,2.0887057331343994,85.68499772329129,0.19939417343216384,0.7070676166257581
2020-03-03,3.3704330689366473,2.5303178024256723,102.28366220371944,0.2628377740696705,0.8691039454358278
2020-03-04,4.657325695257912,3.3180582503506457,111.11937901880049,0.368577108465515,1.3846740825587762
2020-03-05,6.097419824712661,5.943859743433891,120.22816434472287,0.5830769010970852,1.8265913429498752
2020-03-06,10.371741762136864,8.199661935219043,132.0481298854273,0.7341330930911486,2.5483895349220034
2020-03-07,15.044387607708126,9.751271908404595,140.82533201961374,1.0906257061971385,3.3438406036259813
2020-03-08,17.87861541567758,12.627718089463968,145.9356141510734,1.4471183193031285,4.330789151832768
2020-03-09,19.150187891685494,14.274811753307096,149.19293138753815,1.655575864254936,5.0525873438048965
2020-03-10,28.173756426247703,17.628676387654334,152.41123883673987,2.256779508391309,6.039535892011685
2020-03-11,36.04831368730878,23.107053139132557,158.0481530962507,3.4712712920235793,7.1443290429894315
2020-03-12,36.04831368730878,25.136081565605974,161.26646054545242,4.882136125248133,7.173790193682171
2020-03-13,57.78760698195015,44.49539984642881,166.8643650177002,6.709916048376302,12.241108112833437
2020-03-14,70.45737129108927,55.380540581392076,169.06841799806256,8.885125213090815,17.544115237526622
2020-03-15,71.00889670236982,69.84631971601432,170.60930459495307,9.220469959317636,17.779804443068542
2020-03-16,104.85110874455643,87.79725355963795,184.28223503065243,13.525571431148448,24.128682417353996
2020-03-17,120.66150386793197,111.57269253337353,191.3039967380016,19.008911200532953,30.86055535064507
