Date,France,Germany,"Korea, South",US,United Kingdom
2020-01-22,0.0,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0,0.0
2020-02-15,0.015320150313348397,0.0,0.0,0.0,0.0
2020-02-16,0.015320150313348397,0.0,0.0,0.0,0.0
2020-02-17,0.015320150313348397,0.0,0.0,0.0,0.0
2020-02-18,0.015320150313348397,0.0,0.0,0.0,0.0
2020-02-19,0.015320150313348397,0.0,0.0,0.0,0.0
2020-02-20,0.015320150313348397,0.0,0.01950489363152545,0.0,0.0
2020-02-21,0.015320150313348397,0.0,0.0390097872630509,0.0,0.0
2020-02-22,0.015320150313348397,0.0,0.0390097872630509,0.0,0.0
2020-02-23,0.015320150313348397,0.0,0.11702936178915269,0.0,0.0
2020-02-24,0.015320150313348397,0.0,0.1560391490522036,0.0,0.0
2020-02-25,0.015320150313348397,0.0,0.1950489363152545,0.0,0.0
2020-02-26,0.030640300626696794,0.0,0.23405872357830537,0.0,0.0
2020-02-27,0.030640300626696794,0.0,0.2535636172098308,0.0,0.0
2020-02-28,0.030640300626696794,0.0,0.2535636172098308,0.0,0.0
2020-02-29,0.030640300626696794,0.0,0.3120782981044072,0.0030211238398812706,0.0
2020-03-01,0.030640300626696794,0.0,0.3315831917359326,0.0030211238398812706,0.0
2020-03-02,0.045960450940045194,0.0,0.5461370216827126,0.018126743039287622,0.0
2020-03-03,0.06128060125339359,0.0,0.5461370216827126,0.021147866879168892,0.0
2020-03-04,0.06128060125339359,0.0,0.6826712771033907,0.033232362238693976,0.0
2020-03-05,0.09192090188009039,0.0,0.6826712771033907,0.036253486078575245,0.0
2020-03-06,0.13788135282013558,0.0,0.8192055325240688,0.042295733758337783,0.014730575346369961
2020-03-07,0.16852165344683237,0.0,0.8582153197871196,0.0513591052779816,0.029461150692739923
2020-03-08,0.2910828559536195,0.0,0.9752446815762723,0.06344360063750669,0.029461150692739923
2020-03-09,0.2910828559536195,0.023870922664393137,1.0337593624708488,0.06646472447738795,0.04419172603910988
2020-03-10,0.5055649603404971,0.023870922664393137,1.0532642561023742,0.08459146751667557,0.10311402742458974
2020-03-11,0.7353672150407231,0.035806383996589704,1.1702936178915269,0.09667596287620066,0.10311402742458974
2020-03-12,0.7353672150407231,0.035806383996589704,1.2873229796806795,0.12990832511489464,0.13257517811732963
2020-03-13,1.2102918747545233,0.08354822932537598,1.2873229796806795,0.15709843967382606,0.14730575346369962
2020-03-14,1.394133678514704,0.10741915198976912,1.4043523414698322,0.17824630655299495,0.41245610969835894
2020-03-15,1.394133678514704,0.13129007465416226,1.4628670223644087,0.21752091647145147,0.6334147398939083
2020-03-16,2.282702396688911,0.20290284264734165,1.4628670223644087,0.30211238398812706,0.9722179728604176
2020-03-17,2.282702396688911,0.28645107197271763,1.5798963841535614,0.4048305945440902,1.2079071784023367
2020-03-18,2.282702396688911,0.3341929173015039,1.6384110650481376,0.5770346534173226,1.7087467401789156
2020-03-19,3.738116676457009,0.525160298616649,1.7749453204688157,0.8126823129280617,2.342161480072824
2020-03-20,6.9093877913201265,0.7996759092571701,1.8334600013633922,1.1057313253965448,2.8724621925421423
2020-03-21,8.625244626415148,1.0025787519045117,1.9894991504155957,1.3776324709858594,3.6973744119388603
2020-03-22,10.356421611823516,1.1219333652264774,2.165043193099325,1.8126743039287623,4.21294454906181
2020-03-23,13.205969570106319,1.4680617438601777,2.165043193099325,2.368561090466916,5.3030071246931865
2020-03-24,16.882805645309933,1.8738674291548612,2.3405872357830537,3.078525192839014,7.49786285130231
2020-03-25,20.421760367693413,2.458705034432493,2.457616597572206,4.015073583202208,10.237749865727123
2020-03-26,26.013615232065575,3.186768175696484,2.555141065729834,5.244670986033885,12.948175729459196
2020-03-27,30.59434017575675,4.081927775611226,2.711180214782037,6.900246850288821,17.131659127828264
2020-03-28,35.496788276028234,5.168054756841114,2.8087046829396645,8.82470273629319,21.462448279661032
2020-03-29,40.00091246815266,6.361600890060771,2.964743831991868,10.712905136218984,24.629521979130573
2020-03-30,46.42005544944564,7.698372559266786,3.0817731937810207,13.14793095116329,30.13875715867294
2020-03-31,54.11077090674654,9.249982532452341,3.1597927683071227,16.821617540458913,35.78056751633263
2020-04-01,67.62314348311982,10.980624425620842,3.2183074492016988,20.50436750127418,45.66478357374688
